memory_decay,memory_gain,predict_weight_phase_mean,predict_weight_centroid_mean,predict_weight_peak_mean,predict_weight_sum_mean,predict_bias,predict_variance,predict_mse,predict_rmse,predict_mae,predict_normalized_bias,predict_normalized_variance,predict_normalized_mse,predict_resonance_mse,predict_offresonance_mse,predict_resonance_concentration_ratio,predict_te_reference_mse,predict_te_family_tension,predict_te_weight_roughness,predict_te_total,predict_te_alpha_mean,predict_te_beta_mean,predict_te_gamma_mean,predict_te_adaptive_reference_mse,predict_te_adaptive_family_tension,predict_te_adaptive_weight_roughness,predict_te_adaptive_total
0.0,0.0,-0.49581583565526544,-0.1595740547349828,-0.48103475294446346,-1.1364246433347116,-0.06189880680611871,0.006085651965218716,0.009917114249239925,0.09958470891276394,0.07714173537793358,-0.4704717106021683,0.2759517904138158,0.4972954208907462,0.0027382924312522434,0.012708878289568466,0.21546295187198797,0.009917114249239925,0.41924873273725033,0.1650079523140911,0.12297969504925706,1.2936434818273634,0.9725994169611275,0.08104995141342729,0.012268581940906874,0.19130149813881883,0.015562984413564256,0.21913306449328995
0.0,0.25,-0.5066606647649656,-0.16101960384789632,-0.48107296341584155,-1.1487532320287037,-0.06726574818825198,0.005949017037747449,0.010473697917072776,0.10234108616324519,0.07935523416230011,-0.4869378812855256,0.24555451810812606,0.4826630183389627,0.0028406149788342164,0.0134421190597211,0.21132196242376936,0.010473697917072776,0.41918687281410094,0.16093745820117714,0.12331728903065688,1.2644720810196908,1.0045994169611274,0.08104995141342729,0.012607563015999664,0.20480265055470492,0.015212517613410227,0.2326227311841148
0.0,0.5,-0.5173522471773141,-0.16203612271865736,-0.48065327559445237,-1.1600416454904237,-0.07301130534651885,0.005803247676834493,0.011133898385237106,0.1055172895085782,0.08208574823814584,-0.5004106311833204,0.22406499062940333,0.4744757904306924,0.0031147275793013732,0.014252464809767669,0.21853957339131622,0.011133898385237106,0.4181309164510402,0.15718626140963368,0.12352594056847885,1.2450244804812423,1.0259327502944608,0.08104995141342729,0.013174738202351956,0.21337722106277618,0.014885075792415539,0.24143703505754366
0.0,0.75,-0.5278905828923115,-0.1626236113472656,-0.47977568948029625,-1.1702898837198736,-0.07913714077183547,0.005689542935357955,0.011952229984899261,0.10932625478309985,0.08698834010960925,-0.5129103287697617,0.20754993900514077,0.4706269443638459,0.0036874651938246274,0.015166305181428287,0.2431353681541413,0.011952229984899261,0.41609114522813007,0.15373478104741056,0.1236617553443023,1.2311333372394933,1.041170845532556,0.08104995141342729,0.014024578395016725,0.21890168532898252,0.014579259482294908,0.2475055232062941
0.0,1.0,-0.5382756719099572,-0.16278206973372134,-0.4784402050733732,-1.1794979467170514,-0.08564284189432922,0.005573322182177883,0.012908018549914958,0.11361346112989851,0.09191506234208761,-0.524773848047415,0.19435879998486186,0.4697463915793534,0.004646962870317156,0.016120651314202993,0.2882614839651659,0.012908018549914958,0.41308514758551707,0.15057412746871243,0.12370801181972985,1.2207149798081816,1.0525994169611275,0.08104995141342729,0.015127642420556277,0.22232041629602176,0.014294411613245094,0.2517424703298231
0.0,1.5,-0.5585861098531941,-0.16181189578017524,-0.47439554138122575,-1.1947935470145954,-0.09999620239080782,0.005485309021431774,0.015484549514015173,0.12443692986414914,0.10395088316648238,-0.5475048337980813,0.17478670352941506,0.4745482465616797,0.008403761219010574,0.018238189406516964,0.4607782621233059,0.015484549514015173,0.4042813611021861,0.14514319830998593,0.123812049705061,1.2061292794043452,1.0685994169611275,0.08104995141342729,0.018491799357343887,0.2247663786576339,0.01378870491155524,0.257046882926533
0.0,2.0,-0.5782835610070258,-0.15912560085801875,-0.46851928451801017,-1.2059284463830546,-0.11634245127064408,0.005805501842874012,0.0193410678105362,0.13907216763441993,0.11967578581816322,-0.5697803547636656,0.16060706013472698,0.48525671280933563,0.015729973885872384,0.02074538211457213,0.7582397759173216,0.0193410678105362,0.3920064017238921,0.14103618169219312,0.12439447732611889,1.196405479135121,1.079266083627794,0.08104995141342729,0.024068909519811065,0.22304748759434553,0.013377547098561142,0.2604939442127177
0.05,0.0,-0.4765686103630838,-0.1663340087779848,-0.4812192742243529,-1.1241218933654216,-0.06686828036999806,0.006179014959518594,0.010650381879159261,0.10320068739673811,0.07993773801557051,-0.5084789261572201,0.2826538106681746,0.5412046290141742,0.002730901715159489,0.013730179720714728,0.19889773992101328,0.010650381879159261,0.4174767806153513,0.15902836562081402,0.1229709953140378,1.2936434818273634,0.9725994169611275,0.0829547133181892,0.013126376998336946,0.1904554715834121,0.015299695391065878,0.21888154397281492
0.05,0.25,-0.485531247008594,-0.16761331002686805,-0.4812862394741191,-1.134430796509581,-0.06792604226916571,0.0060586989124400865,0.010672646130792574,0.10330849979935133,0.07995242129054209,-0.5097498155009851,0.26650151231917024,0.5263463867224586,0.0027935958071101407,0.013736721256669079,0.20336700111417563,0.010672646130792574,0.41768727064579503,0.1550282754746908,0.12284587756597587,1.2655940579738318,1.003368647730358,0.0829547133181892,0.012841945047908034,0.20347647777605826,0.014947916135293846,0.23126633895926008
0.05,0.5,-0.4943406369567521,-0.16846358103359882,-0.480895306431118,-1.143699524421469,-0.06939159590534935,0.005919856825410082,0.01073505040770138,0.10361008834906657,0.08012019175699009,-0.5101239149681853,0.25511649341126813,0.5153429020337366,0.002906090615083431,0.013779645882608358,0.2108973365383273,0.01073505040770138,0.4169023137811339,0.15132777270071396,0.12252701748802056,1.2465928353633753,1.024212320186934,0.0829547133181892,0.012718821606312231,0.21191100195499346,0.014618357867689509,0.23924818142899518
0.05,0.75,-0.5029967802075594,-0.16888482179817685,-0.48004647509535014,-1.1519280771010865,-0.07126474675546991,0.005783602895481173,0.010862267025602432,0.10422220025312473,0.0808019004715252,-0.511114771160013,0.24628175578867342,0.5075200650866258,0.0031637810380042305,0.01385612268744618,0.22833090536002942,0.010862267025602432,0.4151296842518927,0.14790813939383307,0.12204009505826727,1.232869730144712,1.039266083627794,0.0829547133181892,0.012758655014965745,0.2174400890367287,0.01430964539249854,0.24450838944419298
0.05,1.0,-0.511499676761015,-0.16887703232060225,-0.478739745466815,-1.1591164545484325,-0.07368075015772235,0.005634215520159328,0.011063068463964033,0.10518112218437314,0.08241235069105429,-0.5130209197404567,0.23931706339339764,0.5025075274847416,0.003597978765009086,0.01396615890244651,0.25762121068082744,0.011063068463964033,0.41238446314867977,0.14476134889525227,0.12139725169589659,1.222493723759869,1.0506481974489323,0.0829547133181892,0.012957652762785188,0.22093017672276613,0.014021166276727219,0.2479089957622785
