memory_decay,memory_gain,baseline_predict_te_adaptive_total,baseline_predict_te_adaptive_reference_mse,baseline_predict_te_adaptive_family_tension,baseline_predict_te_adaptive_weight_roughness,robust_te_adaptive_total_mean,robust_te_adaptive_total_std,robust_te_adaptive_reference_mse_mean,robust_te_adaptive_family_tension_mean,robust_te_adaptive_weight_roughness_mean,robust_rmse_mean,robust_rmse_std,robust_bias_mean,robust_weight_phase_mean,robust_weight_centroid_mean,robust_weight_peak_mean,robust_te_ratio_mean,robust_te_ratio_std,local_band_survival_rate,global_band_survival_rate
0.0,0.0,0.21913306449328995,0.012268581940906874,0.19130149813881883,0.015562984413564256,0.22335851414541033,0.008446257834661217,0.014869044382078507,0.19225697004676112,0.01623249971657072,0.10821623968156101,0.005615368123865042,-0.06810700040746226,-0.492984092848557,-0.15712818167991519,-0.481454638531791,1.019282574548442,0.03854396804148126,0.7916666666666666,0.875
0.0,0.25,0.2326227311841148,0.012607563015999664,0.20480265055470492,0.015212517613410227,0.23235640384867184,0.009910091289826653,0.014966137543224511,0.2012963651538243,0.016093901151623038,0.10876781551809289,0.006153199070738012,-0.07024954638950104,-0.5032821907849753,-0.16101254290693423,-0.47862489033725725,0.9988551104439051,0.042601560214608064,0.7916666666666666,0.9583333333333334
0.0,0.5,0.24143703505754366,0.013174738202351956,0.21337722106277618,0.014885075792415539,0.24184239727853604,0.008436259044651987,0.015090862873792951,0.21128167294666675,0.015469861458076323,0.1102542061271551,0.006169126837008243,-0.07332508133896004,-0.5150191016379415,-0.16025136735783616,-0.4793431119382839,1.001678956258288,0.03494185986272282,0.7916666666666666,1.0
0.0,0.75,0.2475055232062941,0.014024578395016725,0.21890168532898252,0.014579259482294908,0.2485535720106926,0.007580380172010163,0.01697705036039757,0.21662417731667363,0.014952344333621428,0.11725522154232544,0.005549337408015616,-0.08193327044566728,-0.5241134810985913,-0.1631654094666842,-0.4817120959045291,1.004234446127996,0.030627115200544324,0.875,0.9583333333333334
0.0,1.0,0.2517424703298231,0.015127642420556277,0.22232041629602176,0.014294411613245094,0.25062654711508986,0.009192355172569415,0.01793921051042262,0.2178751092325497,0.014812227372117516,0.1207770008388438,0.0061167892180370165,-0.09033393104462517,-0.5403493839058185,-0.16117728896963032,-0.48186377952198134,0.9955672032086156,0.03651491605896276,0.875,0.9166666666666666
0.0,1.5,0.257046882926533,0.018491799357343887,0.2247663786576339,0.01378870491155524,0.25775639358563257,0.006515166332174842,0.021043784865520016,0.22216811409269266,0.014544494627419859,0.13018824715751467,0.00645065510598341,-0.10277828443331945,-0.5587943064297107,-0.1606644502015574,-0.47715322154480494,1.0027602383309289,0.02534621800505144,0.9166666666666666,0.9166666666666666
0.0,2.0,0.2604939442127177,0.024068909519811065,0.22304748759434553,0.013377547098561142,0.2603901624752704,0.006884581942084964,0.02798503129014004,0.21875012516389425,0.013655006021236099,0.14676839690682567,0.009417477705740971,-0.12162772879784452,-0.579506572021959,-0.1556800388834938,-0.46865951087463814,0.999601596352802,0.026428951977720692,0.875,0.8333333333333334
0.05,0.0,0.21888154397281492,0.013126376998336946,0.1904554715834121,0.015299695391065878,0.22074049902155937,0.008214323224199438,0.015324741989936915,0.1895728755637036,0.01584288146791882,0.10947352335407745,0.004277969650002391,-0.070868310854099,-0.4774958628159734,-0.16722760836145176,-0.4786680043324431,1.0084929730255163,0.037528624273683184,0.7916666666666666,0.7916666666666666
0.05,0.25,0.23126633895926008,0.012841945047908034,0.20347647777605826,0.014947916135293846,0.23428607765919232,0.0075922664757234895,0.01559975363294583,0.20328322824201703,0.015403095784229479,0.11133129125398857,0.004014951417780346,-0.0712254286737891,-0.4843389912721372,-0.16976731983173562,-0.47896400993903293,1.013057406942669,0.0328291030587938,0.8333333333333334,1.0
0.05,0.5,0.23924818142899518,0.012718821606312231,0.21191100195499346,0.014618357867689509,0.23900742179744264,0.006339126052849866,0.015380459835199251,0.2081746978055308,0.015452264156712602,0.11115179814309484,0.004702208112828769,-0.07384147733552403,-0.4881755482122792,-0.1664011612357017,-0.480402222884515,0.9989936825010979,0.02649602607211964,0.9166666666666666,1.0
0.05,0.75,0.24450838944419298,0.012758655014965745,0.2174400890367287,0.01430964539249854,0.24431034176494762,0.006942963683514957,0.014775918323394371,0.21435705706313254,0.015177366378420728,0.10983190959667666,0.005676445121718212,-0.0745568842327103,-0.5004567992553409,-0.16583891357954814,-0.47861375993644373,0.9991900168346143,0.02839560515407033,0.9583333333333334,1.0
