metric,intercept,coef_memory_gain,coef_memory_decay,coef_interaction,r_squared
phase_bias,-0.16426594911788578,-0.014161756406990423,0.0005076084756624245,0.04595972673257393,0.601552656913844
phase_variance,0.04352904324010118,0.0001531484453117642,0.00012575343601556105,-0.001193414457897363,0.20962700432150072
phase_mse,0.07035567565602914,0.005377698886910608,0.0005256303489859488,-0.018362210713642486,0.5430777734725365
centroid_bias,-0.371324188467683,-0.014161756406990359,0.0005076084756626643,0.04595972673257376,0.6015526569138452
centroid_variance,0.4950129182321104,6.927867035728312e-05,-4.813137172414198e-06,0.002272693494924273,0.19234812760698283
centroid_mse,0.6327379015496217,0.011158445807420411,0.00018485474129882541,-0.033928782957310194,0.6747297410870718
peak_bias,-0.36140536653580985,-0.014161756406990472,0.0005076084756624947,0.045959726732573876,0.6015526569138441
peak_variance,0.4335948964168029,8.833762073877079e-05,2.909396233575053e-05,0.0020346218678762456,0.19234186883147386
peak_mse,0.564052065754014,0.010896568877715049,0.00022883159696894268,-0.03325512189336194,0.671035504232915
opt_bias,-0.15369215951905862,-0.011231730409758608,0.00026182349705511886,0.03690521786102482,0.5886951355079302
opt_variance,0.005942144140022348,0.0010163946853587915,0.00014723469258912737,-0.003386192548261532,0.5656005618798152
opt_mse,0.02946219876177657,0.0048366517639227575,0.00043380828933769317,-0.016064157416817274,0.5712755420253515
opt_sum1_bias,-0.1963690423467313,-0.0134225109172703,0.00048223442053281604,0.0439489520767631,0.5915984515820698
opt_sum1_variance,0.0035830206168119133,0.0004259074004635562,6.493113842238748e-05,-0.001394652718193013,0.5758170086491972
opt_sum1_mse,0.04200065123288022,0.006219758208133558,0.0003944315960834971,-0.020548646917792252,0.5765564837452812
opt_sum1_nn_bias,-0.1990832675192355,-0.01345546535556899,0.0004659725477173986,0.04405780457126979,0.5918734872329225
opt_sum1_nn_variance,0.006912190676929822,0.00044609413033391116,0.00011318396335952687,-0.0014631613175523832,0.6002806074397431
opt_sum1_nn_mse,0.04640246259831862,0.006328310537853465,0.0004490600407811693,-0.020907588311294037,0.5786535497591284
opt_tikhonov_bias,-0.15428815575290852,-0.01149489149083363,0.0003184129768808181,0.03774592306386185,0.5887020134587319
opt_tikhonov_variance,0.005767676662022337,0.000907183326932668,0.00015251471233239202,-0.0030304179351579347,0.5651227190025381
opt_tikhonov_mse,0.029466660073067297,0.0048393482671047275,0.0004381041740458859,-0.016074645836160098,0.5711354707214267
opt_local_bias,-0.03034897969182306,-0.01370589243860109,-0.04078704245032713,0.026283181890315834,0.9024174740029508
opt_local_variance,0.003564572717495363,0.0003857345216703091,0.0028991193032929575,-0.0027066286857449894,0.3616273243680018
opt_local_mse,0.004304502619007939,0.0016766410847260018,0.00643113622960144,-0.005120030931250078,0.6148887582821171
opt_local_sum1_bias,-0.036720311064127244,-0.019743544314690758,-0.046668364333687554,0.03515742506920895,0.9152007776619832
opt_local_sum1_variance,0.005227065735160244,0.0005732915282444846,0.0016219108454225088,-0.0028038252622629564,0.38737150474379367
opt_local_sum1_mse,0.00623412973717889,0.002948963441822867,0.006682042367352929,-0.007013781479245551,0.7411647742535802
opt_local_sum1_nn_bias,-0.11899638748574956,-0.01578244026822152,-0.041238684544109165,0.041449691600046155,0.721717161329381
opt_local_sum1_nn_variance,0.016813347230558887,-0.00024171502097768073,-0.0025874380541928534,-0.0025074600460973156,0.6628415364299881
opt_local_sum1_nn_mse,0.03072617691684837,0.004175633033235394,0.008589683275132834,-0.014278563248148768,0.503062892882598
opt_local_tikhonov_bias,-0.06374840592026491,-0.014613777893961951,-0.047361006346794736,0.034585787858993355,0.8316065573166651
opt_local_tikhonov_variance,0.006073709150180587,-5.572143980942721e-05,0.0020069761648549146,-0.00207519736407745,0.5360848752028036
opt_local_tikhonov_mse,0.009920025918796442,0.002350980590753364,0.009454112369331044,-0.007792020286193507,0.5853452106610364
