delta0,memory_gain,memory_decay,weight_phase,weight_centroid,weight_peak
-4.0,0.0,0.0,-0.3981729183332104,0.08820999071233424,0.28372968614426763
-3.6666666666666665,0.0,0.0,-0.5896875740359071,-0.08715788515072181,0.242732796144009
-3.3333333333333335,0.0,0.0,-0.8521316588589739,-0.32958089007597513,0.15199250698499017
-3.0,0.0,0.0,-1.0549607157019616,-0.5099761600534176,-0.04176667773593064
-2.666666666666667,0.0,0.0,-1.0441874774010704,-0.46871373656074744,-0.3875752430744412
-2.3333333333333335,0.0,0.0,-0.8196092397426311,-0.2624183205615291,-0.7531052527765544
-2.0,0.0,0.0,-0.5449968946715454,-0.11525054389827946,-0.9232478033877576
-1.666666666666667,0.0,0.0,-0.3315705458288061,-0.07808463685306294,-0.9149075449830532
-1.3333333333333335,0.0,0.0,-0.1884795012215493,-0.08367242332873372,-0.8475226029370803
-1.0,0.0,0.0,-0.09372304707272949,-0.08598637193800121,-0.7879560067536601
-0.666666666666667,0.0,0.0,-0.028560328550901442,-0.06695501517228436,-0.7599195334349362
-0.3333333333333335,0.0,0.0,0.015853922630855236,-0.006439187140894284,-0.7885839767020275
0.0,0.0,0.0,0.044991392661100124,0.16286826655210732,-0.9492121188621118
0.33333333333333304,0.0,0.0,0.015119552282166444,-0.0067438282196452745,-0.7892424455145611
0.6666666666666661,0.0,0.0,-0.029782829200715635,-0.06751553015474149,-0.7610016030149271
1.0,0.0,0.0,-0.09516764461450043,-0.08668615350656889,-0.7892719945237742
1.333333333333333,0.0,0.0,-0.18998402910714657,-0.0844134056368462,-0.8489688703313668
1.666666666666666,0.0,0.0,-0.33308805801273017,-0.07881370928017646,-0.9164375207356151
2.0,0.0,0.0,-0.5465573583725112,-0.11596950361057883,-0.9247985779558333
2.333333333333333,0.0,0.0,-0.8212642309829029,-0.2631998885870445,-0.7545131047924928
2.666666666666666,0.0,0.0,-1.0458997042134826,-0.46960595168260516,-0.3886315545199054
3.0,0.0,0.0,-1.0565255416077248,-0.5108210768060292,-0.042446827064122304
3.333333333333333,0.0,0.0,-0.8533275655807879,-0.3301524318752056,0.15156211121124225
3.666666666666666,0.0,0.0,-0.5904617371130279,-0.08740277964463171,0.24245096945708858
4.0,0.0,0.0,-0.3986312390268566,0.0881891328338248,0.28354168780885564
-4.0,0.25,0.0,-0.415424177988897,0.08942873689821053,0.33121313750063447
-3.6666666666666665,0.25,0.0,-0.5769564540325435,-0.0583801246230482,0.2955943814732378
-3.3333333333333335,0.25,0.0,-0.8311062394113756,-0.29170335634369493,0.20998508329838925
-3.0,0.25,0.0,-1.0539123639239134,-0.4889862547469179,0.02668149541538543
-2.666666666666667,0.25,0.0,-1.0910669080855944,-0.4920388564433422,-0.30414096442455163
-2.3333333333333335,0.25,0.0,-0.9120637055197717,-0.3181886102723812,-0.6798480350433909
-2.0,0.25,0.0,-0.6483007528493887,-0.15944514200818038,-0.899390330671572
-1.666666666666667,0.25,0.0,-0.41880309246199265,-0.09632493629813427,-0.9375328600512942
-1.3333333333333335,0.25,0.0,-0.2547080340746582,-0.08831242256178876,-0.8895746971782714
-1.0,0.25,0.0,-0.1436463613923614,-0.08872047881181833,-0.8304384854230136
-0.666666666666667,0.25,0.0,-0.06715740896551328,-0.07309805671185117,-0.7945455306283541
-0.3333333333333335,0.25,0.0,-0.013768548456318084,-0.02010464808909694,-0.8089078967934038
0.0,0.25,0.0,0.023328932464543296,0.12899527421424206,-0.9398700736452996
0.33333333333333304,0.25,0.0,0.009695790184688023,0.02076956123394627,-0.8318014942010411
0.6666666666666661,0.25,0.0,-0.027131672688731335,-0.0494321675807468,-0.7850890176175924
1.0,0.25,0.0,-0.08632613234875589,-0.0782800598292975,-0.7977217548622361
1.333333333333333,0.25,0.0,-0.1748106043250054,-0.08173073661268528,-0.8483448814125281
1.666666666666666,0.25,0.0,-0.3091218939450843,-0.077802986299634,-0.9129359009599933
2.0,0.25,0.0,-0.5105629900808168,-0.10805165826421041,-0.931383348587303
2.333333333333333,0.25,0.0,-0.7760448533151731,-0.2365268533517339,-0.7927824354095131
2.666666666666666,0.25,0.0,-1.013580682185937,-0.4344970359296954,-0.46034570640232586
3.0,0.25,0.0,-1.069465082073605,-0.5105868360585639,-0.10454557646613251
3.333333333333333,0.25,0.0,-0.9126531851014064,-0.3783850838451571,0.1298279487853041
3.666666666666666,0.25,0.0,-0.6642035811322546,-0.15220168327916947,0.2536169296638126
4.0,0.25,0.0,-0.45649192626475155,0.03799801295647598,0.3131445802189378
-4.0,0.5,0.0,-0.4361564649472864,0.09565472513272943,0.36810994780483913
-3.6666666666666665,0.5,0.0,-0.5766734065235689,-0.03404783259336683,0.33751590227332073
-3.3333333333333335,0.5,0.0,-0.8172497418402118,-0.2556163838870035,0.2586055181919066
-3.0,0.5,0.0,-1.0481176868365503,-0.4608036982508339,0.08612018935609385
-2.666666666666667,0.5,0.0,-1.1195741679650393,-0.4967197586361667,-0.22974265435515398
-2.3333333333333335,0.5,0.0,-0.9822531518468103,-0.3559336894774431,-0.6064225509329724
-2.0,0.5,0.0,-0.7395178231538067,-0.20067995817159295,-0.8588820137211157
-1.666666666666667,0.5,0.0,-0.5062403418991362,-0.12147073771617777,-0.9388727864864957
-1.3333333333333335,0.5,0.0,-0.3268603578695926,-0.09905316269626992,-0.9177934765329494
-1.0,0.5,0.0,-0.19989534308047807,-0.09343067168479983,-0.8679491714831538
-0.666666666666667,0.5,0.0,-0.11074733381256263,-0.07816899066696234,-0.8300386411010954
-0.3333333333333335,0.5,0.0,-0.04751796603935368,-0.03052434896905104,-0.8343760307856131
0.0,0.5,0.0,-0.0023426285339980917,0.10288476605424102,-0.942317485326202
0.33333333333333304,0.5,0.0,-0.002930494521772386,0.02989111491144262,-0.8612050717482851
0.6666666666666661,0.5,0.0,-0.03030146862144792,-0.03504872233555591,-0.8112688381304122
1.0,0.5,0.0,-0.08231321276800085,-0.06865252753613085,-0.8124619745972526
1.333333333333333,0.5,0.0,-0.16416422155573984,-0.07749539699082944,-0.8532352750466204
1.666666666666666,0.5,0.0,-0.29032591553456855,-0.07642889052409718,-0.9126254053635939
2.0,0.5,0.0,-0.4809246126511826,-0.10290270788092261,-0.9361190804068409
2.333333333333333,0.5,0.0,-0.7365149050466857,-0.21731108906920482,-0.8205753153007604
2.666666666666666,0.5,0.0,-0.9792345832720819,-0.40433072112941765,-0.5187969621944377
3.0,0.5,0.0,-1.0670482274984665,-0.4990973530030123,-0.1679985409373149
3.333333333333333,0.5,0.0,-0.9521878508774345,-0.40455003228613795,0.09011274952470125
3.666666666666666,0.5,0.0,-0.728085384224695,-0.2013321429665537,0.24219052001619132
4.0,0.5,0.0,-0.5187667419667421,-0.008615876024787014,0.32201279387343995
-4.0,0.75,0.0,-0.45737616636932993,0.1016276033614338,0.4044805998371244
-3.6666666666666665,0.75,0.0,-0.5831402036320258,-0.01521743752034485,0.37732875722879833
-3.3333333333333335,0.75,0.0,-0.8109754178220657,-0.22547603801991695,0.30374195854810215
-3.0,0.75,0.0,-1.0442654509667246,-0.43301230914816724,0.14006562643253928
-2.666666666666667,0.75,0.0,-1.1401878850941742,-0.49209375624692553,-0.1630289563615558
-2.3333333333333335,0.75,0.0,-1.0382285166415932,-0.38003603733176483,-0.5370621316800029
-2.0,0.75,0.0,-0.8196298453330296,-0.23478996177999178,-0.8116730703391517
-1.666666666666667,0.75,0.0,-0.5908263089662615,-0.14781498750564565,-0.9262290570821146
-1.3333333333333335,0.75,0.0,-0.4027654180992264,-0.11400420231157357,-0.9330525747365084
-1.0,0.75,0.0,-0.2626400038655044,-0.10114062873227145,-0.8978282541784759
-0.666666666666667,0.75,0.0,-0.16076431947679581,-0.08372535670333366,-0.863281951654818
-0.3333333333333335,0.75,0.0,-0.08648849711942594,-0.0386670423723914,-0.8620871906173491
0.0,0.75,0.0,-0.031819361395067206,0.08360660094670372,-0.9526861748551096
0.33333333333333304,0.75,0.0,-0.02001900890212702,0.03288982157043937,-0.8861175282831044
0.6666666666666661,0.75,0.0,-0.037131192041625204,-0.023921312628974064,-0.8360393513401342
1.0,0.75,0.0,-0.08099314116589693,-0.058278533384502666,-0.8293927317712142
1.333333333333333,0.75,0.0,-0.15570702089127994,-0.07068725868725174,-0.8613993134316514
1.666666666666666,0.75,0.0,-0.27401088945640567,-0.07248240820720307,-0.9147434786825737
2.0,0.75,0.0,-0.45472273411765485,-0.09712539764108521,-0.9400354335031975
2.333333333333333,0.75,0.0,-0.7005984306235323,-0.2012619451526435,-0.841111031956686
2.666666666666666,0.75,0.0,-0.9443150041655247,-0.37807560736019713,-0.5652371759195085
3.0,0.75,0.0,-1.0547338853220047,-0.4834552920993581,-0.22490411316015968
3.333333333333333,0.75,0.0,-0.9751421066797681,-0.41785802689864837,0.046299847401918295
3.666666666666666,0.75,0.0,-0.7777149864764796,-0.2382455174989962,0.22077124923705516
4.0,0.75,0.0,-0.5752974188701776,-0.05067715155849082,0.32064026069700996
-4.0,1.0,0.0,-0.4779939746416067,0.10781842844729866,0.44080717099131556
-3.6666666666666665,1.0,0.0,-0.5924481174572931,0.0007320517161413312,0.4163575854779405
-3.3333333333333335,1.0,0.0,-0.8084828612931596,-0.1993033468038925,0.34745578902404245
-3.0,1.0,0.0,-1.0406902610478568,-0.40638439755028954,0.1916682267999786
-2.666666666666667,1.0,0.0,-1.1537879827410102,-0.48222298024177607,-0.09984258302848202
-2.3333333333333335,1.0,0.0,-1.08091616508734,-0.39449667499160906,-0.4691360728969268
-2.0,1.0,0.0,-0.8862795400501324,-0.2618529836476689,-0.7586423194849958
-1.666666666666667,1.0,0.0,-0.6669473233371264,-0.17289487146511545,-0.9011135284043392
-1.3333333333333335,1.0,0.0,-0.4761464854481513,-0.1315043330227018,-0.9342859649298575
-1.0,1.0,0.0,-0.3270811141812607,-0.11228670974086077,-0.9163163833765386
-0.666666666666667,1.0,0.0,-0.21458910166635684,-0.09191901623557887,-0.8893335807629654
-0.3333333333333335,1.0,0.0,-0.12999256785433036,-0.04789581421145386,-0.8869819483341077
0.0,1.0,0.0,-0.06587276331046674,0.06613454334692118,-0.9654250663585721
0.33333333333333304,1.0,0.0,-0.042437489754854174,0.031093311900457842,-0.9083702452912027
0.6666666666666661,1.0,0.0,-0.04914609364739157,-0.017262268503181695,-0.8594183742668742
1.0,1.0,0.0,-0.08426242833452884,-0.049964047829088296,-0.8475227123370196
1.333333333333333,1.0,0.0,-0.15128514838165794,-0.06402502036056637,-0.8722959854657708
1.666666666666666,1.0,0.0,-0.26162455066649976,-0.06789918581385984,-0.9196801629466221
2.0,1.0,0.0,-0.4328849949426379,-0.09148620224659765,-0.9448582298461121
2.333333333333333,1.0,0.0,-0.6691936631087249,-0.18782613076927757,-0.857921668942105
2.666666666666666,1.0,0.0,-0.9112793414180278,-0.3556217268605029,-0.6033736426825488
3.0,1.0,0.0,-1.037588339837572,-0.466991444291314,-0.2751334953674618
3.333333333333333,1.0,0.0,-0.9867684291619714,-0.4234697737171229,0.0024274829912220297
3.666666666666666,1.0,0.0,-0.8149482452687117,-0.26539516517198486,0.19358721847001187
4.0,1.0,0.0,-0.6238602892627789,-0.08658188167247007,0.3112359163477849
-4.0,1.5,0.0,-0.5193456874798564,0.11990874703498129,0.5125686773532795
-3.6666666666666665,1.5,0.0,-0.618083045616602,0.026424988347556376,0.4918609968183656
-3.3333333333333335,1.5,0.0,-0.8151043356591081,-0.15706791303218862,0.43008347351889487
-3.0,1.5,0.0,-1.0416115662825232,-0.3597675359045155,0.28673415405820657
-2.666666666666667,1.5,0.0,-1.1760948418489434,-0.45671774524763936,0.014121633475602746
-2.3333333333333335,1.5,0.0,-1.1465530112956461,-0.4056576572050864,-0.34415764863846865
-2.0,1.5,0.0,-0.9940483264966027,-0.29802312011594173,-0.650753118953379
-1.666666666666667,1.5,0.0,-0.7988649750522728,-0.21366940561857078,-0.8336246752274468
-1.3333333333333335,1.5,0.0,-0.612972759573077,-0.16553426651801617,-0.9111720213640124
-1.0,1.5,0.0,-0.45586545292668046,-0.13780487772847352,-0.9281566899684288
-0.666666666666667,1.5,0.0,-0.32886123309895005,-0.11183491451186409,-0.9223488620870288
-0.3333333333333335,1.5,0.0,-0.227201116737537,-0.06740944448530602,-0.9265066996457949
0.0,1.5,0.0,-0.14545796501986166,0.03632746042984079,-0.9925508692146586
0.33333333333333304,1.5,0.0,-0.10061550974566386,0.02180041855229469,-0.9481774958259434
0.6666666666666661,1.5,0.0,-0.08676910639801133,-0.011885633189515006,-0.902457073149953
1.0,1.5,0.0,-0.10351393051121074,-0.038581446164394635,-0.8843680728311082
1.333333333333333,1.5,0.0,-0.154008809492178,-0.05238162092811113,-0.8984075988900179
1.666666666666666,1.5,0.0,-0.24792535802304566,-0.05805256015893155,-0.9353392602709288
2.0,1.5,0.0,-0.400895514746227,-0.08001241406945639,-0.957689586199959
2.333333333333333,1.5,0.0,-0.6184986028863041,-0.16507551748064475,-0.8860149185911469
2.666666666666666,1.5,0.0,-0.8528171567105447,-0.31811360140641476,-0.6634944367111524
3.0,1.5,0.0,-0.9977716436775359,-0.43446304736182695,-0.3588099940942691
3.333333333333333,1.5,0.0,-0.9890498694447364,-0.4213931956366883,-0.07934116831907423
3.666666666666666,1.5,0.0,-0.8612370775902752,-0.29866914054010946,0.13247070716001155
