delta0,memory_decay,memory_gain,reference_excitation,reference_scale,estimator_phase,estimator_centroid,estimator_peak,reference_width,reference_skew,output_width,te_current_peak,te_memory_peak,error_phase,abs_error_phase,squared_error_phase,normalized_error_phase,ratio_abs_phase,error_centroid,abs_error_centroid,squared_error_centroid,normalized_error_centroid,ratio_abs_centroid,error_peak,abs_error_peak,squared_error_peak,normalized_error_peak,ratio_abs_peak,estimator_opt,error_opt,abs_error_opt,squared_error_opt,normalized_error_opt,estimator_opt_sum1,error_opt_sum1,abs_error_opt_sum1,squared_error_opt_sum1,normalized_error_opt_sum1,estimator_opt_sum1_nn,error_opt_sum1_nn,abs_error_opt_sum1_nn,squared_error_opt_sum1_nn,normalized_error_opt_sum1_nn,estimator_opt_tikhonov,error_opt_tikhonov,abs_error_opt_tikhonov,squared_error_opt_tikhonov,normalized_error_opt_tikhonov,estimator_opt_local,error_opt_local,abs_error_opt_local,squared_error_opt_local,normalized_error_opt_local,estimator_opt_local_sum1,error_opt_local_sum1,abs_error_opt_local_sum1,squared_error_opt_local_sum1,normalized_error_opt_local_sum1,estimator_opt_local_sum1_nn,error_opt_local_sum1_nn,abs_error_opt_local_sum1_nn,squared_error_opt_local_sum1_nn,normalized_error_opt_local_sum1_nn,estimator_opt_local_tikhonov,error_opt_local_tikhonov,abs_error_opt_local_tikhonov,squared_error_opt_local_tikhonov,normalized_error_opt_local_tikhonov,estimator_opt_predict_tikhonov,error_opt_predict_tikhonov,abs_error_opt_predict_tikhonov,squared_error_opt_predict_tikhonov,normalized_error_opt_predict_tikhonov
-4.0,0.15,1.0,0.08299927112668645,0.08299927112668645,-0.077868266760035,0.07877521598636897,0.12565603623968086,1.7390768419786637,0.003388840242515786,1.7392434965580323,0.02134866014396684,0.017161306710151404,-0.16086753788672145,0.16086753788672145,0.025878364745735762,-1.9381801274035322,0.9381801274035321,-0.004224055140317484,0.004224055140317484,1.7842641828442563e-05,-0.050892677525686596,0.9491073224743134,0.042656765112994405,0.042656765112994405,0.0018195996099051766,0.5139414423035714,1.5139414423035713,-0.08507916313725943,-0.16807843426394586,0.16807843426394586,0.028250360064619572,-2.025059159946095,-0.16669933081426883,-0.24969860194095528,0.24969860194095528,0.06234939181126763,-3.0084433098192664,-0.05172705700604253,-0.13472632813272897,0.13472632813272897,0.01815118349212776,-1.6232230271888606,-0.0830002390610235,-0.16599951018770995,0.16599951018770995,0.02755583738255962,-2.000011661961893,0.08365839757849171,0.0006591264518052559,0.0006591264518052559,4.344476794693863e-07,0.007941352289698956,0.07975336082914768,-0.003245910297538776,0.003245910297538776,1.0535933659668265e-05,-0.03910769641078366,0.07975336082914769,-0.003245910297538762,0.003245910297538762,1.0535933659668176e-05,-0.039107696410783495,0.07460937931643347,-0.008389891810252986,0.008389891810252986,7.039028458775013e-05,-0.10108392153766053,0.08495970213142781,0.0019604310047413587,0.0019604310047413587,3.8432897243512134e-06,0.0236198580798263
-3.6666666666666665,0.15,1.0,0.08586765150209315,0.08586765150209315,-0.08945818099085301,0.0906443935986797,0.12565603623968086,1.7387296858863859,0.003062195062061507,1.73785819352032,0.02133958981792209,0.017154914291343658,-0.17532583249294614,0.17532583249294614,0.03073914753934461,-2.041814693029916,1.0418146930299164,0.004776742096586559,0.004776742096586559,2.2817265057302152e-05,0.05562912241136721,1.0556291224113672,0.03978838473758771,0.03978838473758771,0.0015831155600263026,0.4633687313157483,1.4633687313157482,-0.08613205142089816,-0.17199970292299133,0.17199970292299133,0.02958389780559727,-2.0030791562850485,-0.15237350896972632,-0.23824116047181948,0.23824116047181948,0.05675885054295924,-2.7745158543903115,-0.0594020363174026,-0.14526968781949576,0.14526968781949576,0.021103282199173755,-1.6917859668719901,-0.08445094948329306,-0.1703186009853862,0.1703186009853862,0.0290084258416192,-1.98350133031453,0.08563288107821648,-0.00023477042387666514,0.00023477042387666514,5.5117151927229016e-08,-0.0027340962489342366,0.0817640880765878,-0.004103563425505344,0.004103563425505344,1.683923278714515e-05,-0.04778939861194775,0.0817640880765878,-0.004103563425505344,0.004103563425505344,1.683923278714515e-05,-0.04778939861194775,0.07709930525672094,-0.008768346245372205,0.008768346245372205,7.688389587873284e-05,-0.10211466241345221,0.08111846251847596,-0.004749188983617189,0.004749188983617189,2.255479600211087e-05,-0.05530824356482395
-3.3333333333333335,0.15,1.0,0.0896305826439962,0.0896305826439962,-0.1033586300156486,0.10488347427597912,0.12565603623968086,1.7382823817319037,0.0026306793523089354,1.735760118869241,0.02132937097238934,0.01714875420357668,-0.1929892126596448,0.1929892126596448,0.03724483620298961,-2.1531625363429674,1.1531625363429672,0.015252891631982915,0.015252891631982915,0.00023265070313701442,0.1701750806704659,1.1701750806704658,0.03602545359568465,0.03602545359568465,0.0012978333067748284,0.4019326052891365,1.4019326052891365,-0.08739601058072145,-0.17702659322471764,0.17702659322471764,0.031338414708749644,-1.9750690891729414,-0.13518385685123654,-0.22481443949523275,0.22481443949523275,0.05054153220555566,-2.50823360580142,-0.06860646265792184,-0.15823704530191804,0.15823704530191804,0.025038962505881262,-1.765435866130871,-0.08619212020583401,-0.1758227028498302,0.1758227028498302,0.03091362283741969,-1.9616373972283607,0.08429189841626954,-0.005338684227726667,0.005338684227726667,2.850154928337748e-05,-0.05956319896894336,0.07888803844073308,-0.010742544203263121,0.010742544203263121,0.0001154022559590621,-0.11985355764038089,0.07888803844073308,-0.010742544203263121,0.010742544203263121,0.0001154022559590621,-0.11985355764038089,0.07512299412872252,-0.014507588515273687,0.014507588515273687,0.00021047012452850096,-0.16185980373346887,0.07365474820012669,-0.01597583444386952,0.01597583444386952,0.00025522728617792767,-0.17824088578475442
-3.0,0.15,1.0,0.0946983362317838,0.0946983362317838,-0.12007917253880862,0.12177857129307888,0.12565603623968086,1.737693737434748,0.002043756647220487,1.7324927276790343,0.021317149376424017,0.017141717192561745,-0.21477750877059243,0.21477750877059243,0.04612937827370191,-2.268017763742994,1.268017763742994,0.027080235061295088,0.027080235061295088,0.0007333391309749958,0.2859631556251787,1.2859631556251787,0.030957700007897063,0.030957700007897063,0.0009583791897789498,0.3269085945937313,1.3269085945937313,-0.08884270257395302,-0.1835410388057368,0.1835410388057368,0.03368731292588898,-1.9381654008841451,-0.11500272682042446,-0.20970106305220826,0.20970106305220826,0.043974535845226224,-2.2144112705311274,-0.07971711022197155,-0.17441544645375534,0.17441544645375534,0.030420747961662796,-1.8418005362507723,-0.08820775873001353,-0.18290609496179733,0.18290609496179733,0.03345463957417402,-1.931460490648073,0.07278422437467669,-0.021914111857107108,0.021914111857107108,0.00048022829848580234,-0.2314096818287292,0.06415846420297168,-0.030539872028812115,0.030539872028812115,0.0009326837835362206,-0.3224963948053182,0.06452700400970197,-0.03017133222208182,0.03017133222208182,0.0009103092880552328,-0.31860467060619124,0.06438522066987085,-0.03031311556191295,0.03031311556191295,0.000918884975069889,-0.3201018810691512,0.06031365136309709,-0.034384684868686705,0.034384684868686705,0.0011823065535188923,-0.36309703250252146
-2.666666666666667,0.15,1.0,0.101745038299697,0.101745038299697,-0.13938089725989755,0.1411460520753948,0.12565603623968086,1.7369003999778567,0.0012160724796212092,1.7272582950288375,0.021305086835549873,0.017132987860014045,-0.24112593555959455,0.24112593555959455,0.05814171679948974,-2.3699036295936273,1.3699036295936273,0.039401013775697796,0.039401013775697796,0.0015524398865527276,0.38725243445915664,1.3872524344591566,0.023910997939983858,0.023910997939983858,0.0005717358224859122,0.23500898264495582,1.2350089826449557,-0.09046974698825569,-0.1922147852879527,0.1922147852879527,0.03694652368329375,-1.8891809222359408,-0.09199539454806134,-0.19374043284775833,0.19374043284775833,0.03753535532003675,-1.9041757326493167,-0.09256558330206328,-0.19431062160176027,0.19431062160176027,0.03775661766726247,-1.9097798266034849,-0.0904886162278559,-0.1922336545275529,0.1922336545275529,0.03695377793301856,-1.8893663783516939,0.04379554261288689,-0.05794949568681011,0.05794949568681011,0.0033581440503556237,-0.5695559867609061,0.03781117771735115,-0.06393386058234585,0.06393386058234585,0.004087538528962836,-0.6283732519125332,0.038153504616413585,-0.06359153368328341,0.06359153368328341,0.004043883156192168,-0.6250086957161506,0.04230903233228703,-0.05943600596740997,0.05943600596740997,0.0035326388053579937,-0.584166136852169,0.03912556469400762,-0.06261947360568938,0.06261947360568938,0.00392119847465363,-0.6154548138380903
-2.3333333333333335,0.15,1.0,0.11193916845747509,0.11193916845747509,-0.16053097491229096,0.16122310625659783,0.12565603623968086,1.7358031838723589,-5.805003667476743e-06,1.7164888845471797,0.021291902827478077,0.01712096232205557,-0.27247014336976605,0.27247014336976605,0.07423997902794087,-2.4340911865293653,1.4340911865293653,0.04928393779912274,0.04928393779912274,0.002428906524987799,0.4402742889576258,1.4402742889576259,0.013716867782205766,0.013716867782205766,0.00018815246175451453,0.12253858922863724,1.1225385892286373,-0.09189007264183284,-0.20382924109930795,0.20382924109930795,0.041546359527119804,-1.8208929359408388,-0.06922438536197621,-0.18116355381945132,0.18116355381945132,0.03282023323249324,-1.6184107521602153,-0.10683553366207314,-0.21877470211954825,0.21877470211954825,0.04786237028749707,-1.9544070688952744,-0.0926003719238243,-0.2045395403812994,0.2045395403812994,0.04183642357939321,-1.8272383402508707,0.015539489162788876,-0.09639967929468621,0.09639967929468621,0.009292898168118353,-0.8611791620670094,0.028680243325025445,-0.08325892513244965,0.08325892513244965,0.0069320486142108555,-0.743787239799616,-0.0033695661397544025,-0.1153087345972295,0.1153087345972295,0.01329610427441431,-1.0301017613958288,0.01415008139565524,-0.09778908706181985,0.09778908706181985,0.009562705548384183,-0.8735913300889782,0.01123672245404797,-0.10070244600342712,0.10070244600342712,0.010140982631073155,-0.8996175993721383
-2.0,0.15,1.0,0.12744269507557482,0.12744269507557482,-0.17997345989590485,0.1753479248995292,0.12565603623968086,1.7342480003386358,-0.0019197925926177479,1.7028017671196432,0.021270908242309323,0.017102149998309918,-0.30741615497147967,0.30741615497147967,0.0945046923374488,-2.412191258111567,1.4121912581115674,0.04790522982395437,0.04790522982395437,0.0022949110444858874,0.3758962394474323,1.3758962394474323,-0.0017866588358939617,0.0017866588358939617,3.1921497958779664e-06,-0.014019311462571116,0.9859806885374289,-0.09182446258120555,-0.21926715765678037,0.21926715765678037,0.04807808642688338,-1.7205156994424256,-0.05751940674426278,-0.1849621018198376,0.1849621018198376,0.034210979109611975,-1.4513354548109108,-0.12067619015213858,-0.24811888522771341,0.24811888522771341,0.06156298120664322,-1.946905509810322,-0.0930758319697038,-0.22051852704527863,0.22051852704527863,0.04862842077021928,-1.7303347745000912,0.023944761600814823,-0.10349793347476,0.10349793347476,0.010711822233545845,-0.8121135025697994,0.05293644996979957,-0.07450624510577525,0.07450624510577525,0.005551180559761859,-0.5846254668546698,-0.05214494721020335,-0.17958764228577817,0.17958764228577817,0.03225172126176462,-1.4091638769823636,-0.014024736130438184,-0.14146743120601302,0.14146743120601302,0.020013034092028027,-1.1100473912774789,-0.01843899753252931,-0.14588169260810413,0.14588169260810413,0.021281468238205384,-1.1446846170476448
-1.666666666666667,0.15,1.0,0.1525892216318856,0.1525892216318856,-0.18687556498997537,0.16224099651377286,0.12565603623968086,1.732020944219856,-0.005161031847453527,1.6795070520437794,0.02123147772170543,0.017072477669468886,-0.33946478662186097,0.33946478662186097,0.1152363413562256,-2.2246970198249256,1.2246970198249256,0.00965177488188726,0.00965177488188726,9.315675837062982e-05,0.06325332011438997,1.0632533201143899,-0.02693318539220474,0.02693318539220474,0.0007253964753708707,-0.17650778412894585,0.8234922158710541,-0.08606406032415505,-0.23865328195604063,0.23865328195604063,0.05695538898838943,-1.5640245058185078,-0.0919705669287471,-0.2445597885606327,0.2445597885606327,0.05980949018082138,-1.6027330498521175,-0.12861377775917782,-0.2812029993910634,0.2812029993910634,0.07907512686653041,-1.8428759016115344,-0.08711198915660873,-0.23970121078849432,0.23970121078849432,0.057456670453470186,-1.570892152309174,-0.002578109415380725,-0.15516733104726632,0.15516733104726632,0.02407690062433194,-1.0168957504849214,-0.012052472665684433,-0.16464169429757003,0.16464169429757003,0.027106887501174504,-1.0789863958724455,-0.09431724812787441,-0.24690646975976,0.24690646975976,0.06096280480922728,-1.6181121256087823,-0.04079892450011155,-0.19338814613199715,0.19338814613199715,0.03739897506437068,-1.2673774993002918,-0.04293927657112296,-0.19552849820300855,0.19552849820300855,0.03823139360952392,-1.2814043882779085
-1.3333333333333335,0.15,1.0,0.19856925647725446,0.19856925647725446,-0.1509332742676719,0.0639221181222262,0.0,1.7267907509242286,-0.005256153908878129,1.671799547925113,0.021174641193447363,0.01702626243008897,-0.3495025307449263,0.3495025307449263,0.12215201899710817,-1.7601039402842344,0.7601039402842347,-0.13464713835502826,0.13464713835502826,0.01812985186719812,-0.6780865313380054,0.3219134686619945,-0.19856925647725446,0.19856925647725446,0.03942974961792966,-1.0,0.0,0.014987180144030499,-0.18358207633322396,0.18358207633322396,0.03370237875081767,-0.924524166480186,-0.006558503102448775,-0.20512775957970322,0.20512775957970322,0.042077397750188525,-1.0330287941789218,-0.115077458367986,-0.3136467148452404,0.3136467148452404,0.09837426173321157,-1.579533108042673,0.011784932183701628,-0.18678432429355282,0.18678432429355282,0.03488838380179911,-0.9406507714599235,0.2022029060426519,0.00363364956539744,0.00363364956539744,1.3203409164113004e-05,0.01829915481308993,0.21010276172959227,0.011533505252337817,0.011533505252337817,0.000133021743405704,0.05808303589865608,-0.10729033038451175,-0.3058595868617662,0.3058595868617662,0.0935500868752503,-1.5403169266376415,0.038533736398906525,-0.16003552007834793,0.16003552007834793,0.0256113676867473,-0.8059430896679595,0.03607971606333394,-0.16248954041392052,0.16248954041392052,0.026402850743927113,-0.8183016006434674
-1.0,0.15,1.0,0.2868223679281053,0.2868223679281053,0.00036999792881431404,-0.21740015451358533,-0.2513120724793617,1.727185467144091,-0.011766618250001892,1.7233852826026868,0.021048747647580624,0.01693489225385132,-0.28645236999929097,0.28645236999929097,0.08205496027821069,-0.9987100102007838,0.0012899897992162783,-0.5042225224416906,0.5042225224416906,0.2542403521374612,-1.7579609501309144,0.7579609501309141,-0.538134440407467,0.538134440407467,0.2895886759526577,-1.8761941207540533,0.876194120754053,0.22536576177432632,-0.06145660615377896,0.06145660615377896,0.0037769144399407016,-0.21426713194552396,0.058957709133371373,-0.22786465879473392,0.22786465879473392,0.05192230272764051,-0.7944452186234315,-0.035972243276151325,-0.3227946112042566,0.3227946112042566,0.10419636102250719,-1.1254164503835633,0.22065407705809334,-0.06616829087001194,0.06616829087001194,0.004378242716658506,-0.23069431909368257,0.33790542528183365,0.05108305735372837,0.05108305735372837,0.002609478748604302,0.17809997777625494,0.2729599690214217,-0.01386239890668356,0.01386239890668356,0.00019216610344802154,-0.04833095482343378,-0.03634731534796458,-0.3231696832760699,0.3231696832760699,0.10443864418875531,-1.1267241310729132,0.22525676288756635,-0.06156560504053893,0.06156560504053893,0.0037903237240076324,-0.21464715421347796,0.22434571753070234,-0.06247665039740294,0.06247665039740294,0.0039033318448793088,-0.2178234942020397
