memory_decay,memory_gain,trial,effective_memory_gain,detuning_shift,perturb_noise_sigma_frac,perturb_weight_jitter_sigma,perturb_te_adaptive_total,perturb_te_adaptive_reference_mse,perturb_te_adaptive_family_tension,perturb_te_adaptive_weight_roughness,perturb_rmse,perturb_mse,perturb_bias,perturb_weight_phase_mean,perturb_weight_centroid_mean,perturb_weight_peak_mean,baseline_predict_te_adaptive_total,te_ratio_to_baseline,within_local_band,within_global_band
0.0,0.0,0,0.15164741497549325,-0.14238250364546312,0.03,0.035,0.2356538065505941,0.013770780940926089,0.20514004150177537,0.016742984107892645,0.10577988400111941,0.011189383859290278,-0.0620870353843395,-0.4932654922607002,-0.15095835643326666,-0.47953446575597797,0.21913306449328995,1.0753913705150142,0,1
0.0,0.0,1,0.07541858052981633,-0.217088984670659,0.03,0.035,0.22512314650762824,0.016923073050738625,0.1915135205903039,0.01668655286658568,0.11502904151379144,0.013231680391581555,-0.07192146096293135,-0.482278679449736,-0.14749516795563802,-0.475865877374127,0.21913306449328995,1.0273353636895892,1,1
0.0,0.0,2,0.02649849490950737,0.02449392347635474,0.03,0.035,0.22090726402234637,0.013036735516995275,0.19170460468437336,0.016165923820977732,0.1026807854682338,0.010543343704373452,-0.06375173549281199,-0.4953864692299115,-0.15274335701771222,-0.4896221604568566,0.21913306449328995,1.008096448307146,1,1
0.0,0.0,3,0.01312341219131599,0.1098319538460944,0.03,0.035,0.21605429751739408,0.01606373962025466,0.18479669061861195,0.01519386727852741,0.11217596641348912,0.012583447440800238,-0.07348029614908184,-0.5061518647200206,-0.15336052500601935,-0.4784386427481418,0.21913306449328995,0.9859502399466049,1,1
0.0,0.0,4,0.0,0.1682630668131837,0.03,0.035,0.21931465656282664,0.013881759505623679,0.18977381118004483,0.0156590858771581,0.10570414930887327,0.011173367181112575,-0.06288860558744883,-0.49584837204443744,-0.15332038931654215,-0.4767899911180241,0.21913306449328995,1.0008286840233653,1,1
0.0,0.0,5,0.11478150425702019,0.07643873699404072,0.03,0.035,0.22904103237045614,0.01544488964030873,0.1971236082113526,0.016472534518794758,0.10969618933545569,0.012033253954720142,-0.06655856537872003,-0.4888799624552436,-0.16208806649404767,-0.48554890358685876,0.21913306449328995,1.0452143901700859,1,1
0.0,0.0,6,0.0,-0.25934681780555957,0.03,0.035,0.21370882147840067,0.014197872820884696,0.18184827342314594,0.017662675234370005,0.10542733002200846,0.011114921915569486,-0.07234770503050374,-0.46823052942782867,-0.1336665472060741,-0.4878977483546486,0.21913306449328995,0.975246807105847,1,0
0.0,0.0,7,0.12204856663469336,-0.08090340096798884,0.03,0.035,0.226381154470647,0.014615584985869252,0.19534941227825736,0.016416157206520322,0.10760715716000549,0.011579300272058122,-0.06937567356463084,-0.4939653064122789,-0.14959667857700565,-0.47333567022559564,0.21913306449328995,1.0330762041507386,1,1
0.0,0.0,8,0.0,-0.14927970275727653,0.03,0.035,0.23643554855573432,0.01713114462626058,0.2024805958691627,0.016823808060311012,0.11315219805307454,0.012803419924242207,-0.05215321418559013,-0.48257956873133123,-0.14896015732043635,-0.48054834307876787,0.21913306449328995,1.0789588011396345,0,1
0.0,0.0,9,0.0,-0.15792637252591094,0.03,0.035,0.2201744616719819,0.015981198978524416,0.18840470978904475,0.01578855290441272,0.1116759056524141,0.012471507903286896,-0.07109249845528443,-0.4764005690102986,-0.1527704636079191,-0.48415494617444166,0.21913306449328995,1.0047523507285403,1,1
0.0,0.0,10,0.1518319457429722,0.11227485019087867,0.03,0.035,0.2252444800703369,0.01957987063863949,0.19048859337923474,0.015176016052462634,0.12155883582640917,0.014776550567471897,-0.07680458894990924,-0.5105855108506855,-0.15500013941743102,-0.4822845545179966,0.21913306449328995,1.0278890617953005,1,1
0.0,0.0,11,0.0,-0.09734199085942252,0.03,0.035,0.21972138888569492,0.013942079925547109,0.18938837592033586,0.016390933039811987,0.10532170657707668,0.011092661876307837,-0.06518124723187586,-0.4877849645836417,-0.15802275574871594,-0.4850278776315675,0.21913306449328995,1.0026847814763389,1,1
0.0,0.0,12,0.0,-0.14066289694351072,0.03,0.035,0.24412072750851976,0.017583957987973537,0.20881576244121294,0.017721007079333276,0.11511381107065234,0.013251189499209842,-0.0497419989356076,-0.49039512419672604,-0.15595873594106094,-0.48938464197419124,0.21913306449328995,1.1140296334239188,0,1
0.0,0.0,13,0.26399573562760104,0.09954688711601398,0.03,0.035,0.23241039134196886,0.013754733317177876,0.20262822789650037,0.016027430128290554,0.10620211445847112,0.011278889115450202,-0.07100820535916083,-0.5022845044271296,-0.1670862524505609,-0.4799866860370826,0.21913306449328995,1.0605902485751322,0,1
0.0,0.0,14,0.026964792612401412,-0.06970386393108352,0.03,0.035,0.21815977977802514,0.014444570081097006,0.18695514747185857,0.016760062225069584,0.10666741997449178,0.011377938484014609,-0.06902708667031422,-0.4917943611480011,-0.15769548863119517,-0.4869061807070287,0.21913306449328995,0.9955584762276045,1,1
0.0,0.0,15,0.15946799012529775,-0.0003095807892041456,0.03,0.035,0.22734879170450373,0.012500573862827893,0.19751018539218163,0.017338032449494247,0.10236627012222979,0.010478853258737314,-0.07233339220873657,-0.5092788220375085,-0.1683738184982542,-0.47656555842426923,0.21913306449328995,1.0374919559958298,1,1
0.0,0.0,16,0.0,0.10375415519488661,0.03,0.035,0.22580816531434927,0.017792036008879835,0.19307198126481262,0.014944148040656826,0.1182406300675093,0.013980846598761585,-0.07043394120849723,-0.4885025962306606,-0.17738274630217812,-0.48462880936063113,0.21913306449328995,1.030461404062844,1,1
